area,inmueble,latitud,longitud,url,valor_publicado,fecha_registro,comprado,valor_compra,financiado,renta,fecha_compra,cuota
4807,Vendo Terreno En El Peñol,6.2655819,-75.2330661,https://lote-casalote.mercadolibre.com.co/MCO-1257562695-vendo-terreno-en-el-penol-_JM#position=9&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,150000000,12/04/2023,False,0,0,0,01/01/2000,0
2200,Vendo Finca El Peñol  Antioquia (también Recibo Criptomonedas),6.2199662,-75.2435307,https://casa.mercadolibre.com.co/MCO-950864367-vendo-finca-el-penol-antioquia-tambien-recibo-criptomonedas-_JM#position=14&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1450000000,12/04/2023,False,0,0,0,01/01/2000,0
5000,Vencambio Finca Vereda Primavera El Peñol,5.66302,-75.17247,https://inmueble.mercadolibre.com.co/MCO-1255612985-vencambio-finca-vereda-primavera-el-penol-_JM#position=24&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,370000000,12/04/2023,False,0,0,0,01/01/2000,0
2600,Finca En Venta En Peñol Antioquia,6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-1257477209-finca-en-venta-en-penol-antioquia-_JM#position=19&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,520000000,12/04/2023,False,0,0,0,01/01/2000,0
6400,Espectacular Lote En Venta En Marinilla  Vía Al Peñol Antioquia,6.2198494,-75.2433014,https://lote-casalote.mercadolibre.com.co/MCO-924520735-espectacular-lote-en-venta-en-marinilla-via-al-penol-antioquia-_JM#position=10&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,250000000,12/04/2023,False,0,0,0,01/01/2000,0
17700,"Venta Y/o Arriendo Finca, Vereda La Chapa, El Peñol, Antioquia",6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-926144149-venta-yo-arriendo-finca-vereda-la-chapa-el-penol-antioquia-_JM#position=15&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,925000000,12/04/2023,False,0,0,0,01/01/2000,0
2734,Finca En El Peñol Vereda Horizontes,6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-1266944531-finca-en-el-penol-vereda-horizontes-_JM#position=16&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,800000000,12/04/2023,False,0,0,0,01/01/2000,0
3084,Hermoso Lote El Peñol Con Acceso A La Represa,6.2033246,-75.2251192,https://lote-casalote.mercadolibre.com.co/MCO-867214682-hermoso-lote-el-penol-con-acceso-a-la-represa-_JM#position=6&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,550000000,12/04/2023,False,0,0,0,01/01/2000,0
500,"Lote En Venta En Rionegro, Sector El Porvenir",6.1475348,-75.3897306,https://lote-casalote.mercadolibre.com.co/MCO-1295222448-lote-en-venta-en-rionegro-sector-el-porvenir-_JM#position=45&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,1070194748,12/04/2023,False,0,0,0,01/01/2000,0
2734,Venta De Fina En El Peñol,6.2211184,-75.2490903,https://inmueble.mercadolibre.com.co/MCO-1041825666-venta-de-fina-en-el-penol-_JM#position=22&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,800000000,12/04/2023,False,0,0,0,01/01/2000,0
